indicx,no_cidade
"33.95","Riachão do Jacuípe"
"64.51","Glória D'Oeste"
"78.54","Alegrete"
"52.71","Abadiânia"
"63.32","Seabra"
"39.02","São Rafael"
"23.18","Santo Antônio do Tauá"
"87.39","Terra Rica"
"82.35","Glicério"
"92.98","Cunha Porã"
"60.49","Costa Rica"
"36.59","Pindobaçu"
"57.89","Itati"
"53.84","Santiago do Sul"
"63.41","Itapirapuã"
"64.36","Herval"
"20.83","São Luis do Piauí"
"9.17","Murici dos Portelas"
"70.54","São Miguel do Araguaia"
"30.15","Alvorada de Minas"
"26.73","São José da Tapera"
"92.00","Fernando Prestes"
"75.00","Oratórios"
"95.45","Mato Queimado"
"83.05","Japaraíba"
"63.07","Nova Trento"
"41.42","Couto Magalhães"
"64.28","Gouvelândia"
"71.42","Queluzito"
"40.83","Maiquinique"
"100.00","Tapiraí"
"82.80","Perdizes"
"65.72","Itaúna"
"19.80","São João do Araguaia"
"55.85","Jaçanã"
"37.23","Monte Alegre de Sergipe"
"90.69","Caldazinha"
"16.49","Centro Novo do Maranhão"
"49.72","Rosário Oeste"
"33.91","Itapecuru Mirim"
"51.28","Catas Altas da Noruega"
"24.26","Santana do São Francisco"
"39.09","Monte Alegre"
"84.26","Arealva"
"44.08","Minador do Negrão"
"57.60","Paraibuna"
"86.36","Patrocínio do Muriaé"
"95.77","Jaboti"
"86.66","Rosário do Ivaí"
"37.66","Pindorama do Tocantins"
"90.69","Nova Palmeira"
"38.96","Bernardo do Mearim"
"34.81","Pompéu"
"75.10","Capão Bonito"
"18.10","Jacundá"
"58.92","Casserengue"
"49.58","Canelinha"
"73.68","Pirapó"
"97.59","Tomazina"
"84.08","Tanabi"
"77.77","Amparo"
"27.27","Santa Rita do Tocantins"
"72.04","Paulo Lopes"
"53.24","Senador Georgino Avelino"
"54.91","São Pedro da Aldeia"
"84.00","Zacarias"
"39.43","Parecis"
"49.39","Matinhos"
"72.35","Gravatal"
"47.08","Santo Amaro"
"75.50","Contenda"
"34.77","São Luís do Quitunde"
"29.82","Monsenhor Hipólito"
"71.95","Capitão Leônidas Marques"
